Book_ID	Reservation_Date	Checkout_Date	Return_Date	Member_ID
26		06-06-2019	07-09-2019	5169
26		10-07-2019	15-09-2019	5170
27		20-09-2019	02-10-2019	5171
27		03-10-2019	06-10-2019	5172
27		09-10-2019	15-10-2019	5173
27		20-10-2019	25-10-2019	5174
28		03-11-2019	06-11-2019	5175
28		12-11-2019	20-11-2019	5176
28		01-12-2019	04-12-2019	5177
28		05-12-2019	20-12-2019	5178
29		01-01-2020	05-01-2020	5179
29		08-01-2020	10-01-2020	5180
29		15-01-2020	20-01-2020	5181
29		03-02-2020	08-02-2020	5182
30		12-02-2020	03-03-2020	5183
30		05-03-2020	10-03-2020	5184
30		12-03-2020	15-03-2020	5185
30		20-03-2020	25-03-2020	5186
31		04-04-2020	06-04-2020	5187
31		10-04-2020	15-04-2020	5188
31		05-05-2020	10-05-2020	5189
31		06-06-2020	10-06-2020	5190
32		07-06-2020	10-06-2020	5191
32		12-06-2020	20-06-2020	5192
32		23-06-2020	05-07-2020	5193
32		08-07-2020	12-07-2020	5194
33		15-07-2020	20-07-2020	5195
33		22-07-2020	28-07-2020	5196
33		30-07-2020	04-08-2020	5197
33		06-08-2020	10-08-2020	5198
34		12-08-2020	20-08-2020	5199
34		22-08-2020	02-09-2020	5200
34		03-09-2020	10-09-2020	5201
34		12-09-2020	20-09-2020	5202
35		02-10-2020	08-10-2020	5203
35		10-10-2020	15-10-2020	5204
35		20-10-2020	01-11-2020	5205
35		05-11-2020	10-11-2020	5206
36		12-11-2020	20-11-2020	5207
36		24-11-2020	30-11-2020	5208
36		03-12-2020	05-12-2020	5209
36		06-12-2020	10-12-2020	5210
37		12-12-2020	20-12-2020	5211
37		25-12-2020	30-12-2020	5212
37		01-01-2021	10-01-2021	5213
37		01-02-2021	05-02-2021	5214
38		09-02-2021	15-02-2021	5215
38		21-02-2021	01-03-2021	5216
38		02-03-2021	06-03-2021	5217
38		10-03-2021	12-03-2021	5218
39		15-03-2021	20-03-2021	5219
39		02-04-2021	09-04-2021	5220
39		11-04-2021	20-04-2021	5221
39		22-04-2021	28-04-2021	5222
40		05-05-2021	10-05-2021	5223
40		12-05-2021	15-06-2021	5224
40		07-07-2021	10-07-2021	5225
40		12-07-2021	20-07-2021	5226
41		22-07-2021	30-07-2021	5227
41		04-08-2021	10-08-2021	5228
41		12-08-2021	20-08-2021	5229
41		22-08-2021	30-08-2021	5230
42		02-09-2021	07-09-2021	5231
42		10-09-2021	15-09-2021	5232
42		20-09-2021	25-09-2021	5233
42		30-09-2021	05-10-2021	5234
43		06-10-2021	10-10-2021	5235
43		12-10-2021	18-10-2021	5236
43		20-10-2021	25-10-2021	5237
43		30-10-2021	04-11-2021	5238
44		10-11-2021	19-11-2021	5239
44		20-11-2021	26-11-2021	5240
44		28-11-2021	04-12-2021	5241
44		08-12-2021	14-12-2021	5242
45		20-12-2021	24-12-2021	5243
45		30-12-2021	06-01-2022	5244
45		07-01-2022	15-01-2022	5245
45		18-01-2022	24-01-2022	5246
46		01-02-2022	10-02-2022	5247
46		12-02-2022	20-02-2022	5248
46		21-02-2022	01-03-2022	5249
46		02-03-2022	10-03-2022	5250
47		12-03-2022	20-03-2022	5251
47		21-03-2022	28-03-2022	5252
47		03-04-2022	12-04-2022	5253
47		18-04-2022	26-04-2022	5254
48		27-04-2022	05-05-2022	5255
48		10-05-2022	20-05-2022	5256
48		30-05-2022	08-06-2022	5257
48		10-06-2022	14-06-2022	5258
49		15-06-2022	20-06-2022	5259
49		22-06-2022	28-06-2022	5260
49		06-07-2022	10-07-2022	5261
49		11-07-2022	20-07-2022	5262
50		24-07-2022	30-07-2022	5263
50		02-08-2022	06-08-2022	5264
50		07-08-2022	10-08-2022	5265
50		11-08-2022	17-08-2022	5266
50		20-08-2022	28-08-2022	5267
